vote_column,dim1,dim2,poll_id,poll_label,accepted,committee,url,label,direction
v110,0.10090930033430442,0.036476858654253395,5289,Kein Stopp der EU-Gebäuderichtlinie (Beschlussempfehlung),TRUE,"Ausschuss für Wohnen, Stadtentwicklung, Bauwesen und Kommunen",https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/kein-stopp-der-eu-gebaeuderichtlinie-beschlussempfehlung,Kein Stopp der EU-Gebäuderichtlinie (Beschlussempfeh...,pro-opposition
v138,0.10097794010280828,0.03613887810259071,5568,Keine Ab­schaf­fung des Solidaritäts­zuschlags,TRUE,Finanzausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/keine-ab-schaf-fung-des-solidaritaets-zuschlags,Keine Ab­schaf­fung des Solidaritäts­zuschlags,pro-opposition
v152,0.10101253016322768,0.03894516835847451,5841,Regelungen zum Bundesverfassungsgericht ins Grundgesetz,TRUE,Rechtsausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/regelungen-zum-bundesverfassungsgericht-ins-grundgesetz,Regelungen zum Bundesverfassungsgericht ins Grundgesetz,pro-opposition
v118,0.10104685937630328,0.03719338669139577,5368,Friedensinitiative für die Ukraine und Russland (Beschlussempfehlung zur Ablehnung des Antrags),TRUE,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/friedensinitiative-fuer-die-ukraine-und-russland-beschlussempfehlung-zur-ablehnung-des-antrags,Friedensinitiative für die Ukraine und Russland (Bes...,pro-opposition
v055,0.1016051652311496,0.04919752441072282,4831,Inflationsausgleichsgesetz,TRUE,Finanzausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/inflationsausgleichsgesetz,Inflationsausgleichsgesetz,pro-opposition
v070,0.10176497513745206,0.052619628750502544,4965,Verlängerung des Bundeswehreinsatzes in Südsudan (UNMISS),TRUE,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaengerung-des-bundeswehreinsatzes-in-suedsudan-unmiss,Verlängerung des Bundeswehreinsatzes in Südsudan (UN...,pro-opposition
v124,0.10181471617625373,0.049521992201493205,5397,Einsatz der Bundeswehr im Roten Meer,TRUE,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/einsatz-der-bundeswehr-im-roten-meer,Einsatz der Bundeswehr im Roten Meer,pro-opposition
v130,0.10197363376961054,0.052549229638589365,5465,Verlängerung des Bundes­wehreinsatzes in Südsudan (UNMISS),TRUE,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaengerung-des-bundes-wehreinsatzes-in-suedsudan-unmiss,Verlängerung des Bundes­wehreinsatzes in Südsudan (U...,pro-opposition
v010,0.10235108296145702,0.0520302443122865,4516,Verlängerung des Bundeswehreinsatzes im Südsudan (UNMISS 2022/23),TRUE,NA,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaengerung-des-bundeswehreinsatzes-im-suedsudan-unmiss-2022/23,Verlängerung des Bundeswehreinsatzes im Südsudan (UN...,pro-opposition
v154,0.1024028511689768,0.05312487637722641,5860,Verlängerung des Bundeswehreinsatzes EUNAVFOR ASPIDES im Roten Meer,TRUE,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaengerung-des-bundeswehreinsatzes-eunavfor-aspides-im-roten-meer,Verlängerung des Bundeswehreinsatzes EUNAVFOR ASPIDE...,pro-opposition
v046,0.10264096922544962,0.055468322662813166,4798,Verbot von Strom- und Gassperren,TRUE,Ausschuss für Klimaschutz und Energie,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verbot-von-strom-und-gassperren,Verbot von Strom- und Gassperren,pro-opposition
v042,0.10267173672100081,0.05733507642991592,4768,Entschließungsantrag gegen Abschöpfung von Krisengewinnen,TRUE,Finanzausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/entschliessungsantrag-gegen-abschoepfung-von-krisengewinnen,Entschließungsantrag gegen Abschöpfung von Krisengew...,pro-opposition
v158,0.10280874422705102,0.05157683868165333,5867,Verlängerung des Bundeswehreinsatzes UNMISS im Südsudan,TRUE,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaengerung-des-bundeswehreinsatzes-unmiss-im-suedsudan,Verlängerung des Bundeswehreinsatzes UNMISS im Südsudan,pro-opposition
v111,0.1031675342567216,0.05608562826162166,5295,Keine Streichung von Erbschaftssteuervergünstigungen (Beschlussempfehlung),TRUE,Finanzausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/keine-streichung-von-erbschaftssteuerverguenstigungen-beschlussempfehlung,Keine Streichung von Erbschaftssteuervergünstigungen...,pro-opposition
v086,0.10317073974181769,0.057216939860499375,5057,LINKEN-Antrag ablehnen: Europäische Asylrechtsreform durchsetzen,TRUE,Ausschuss für Inneres und Heimat,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/linken-antrag-ablehnen-europaeische-asylrechtsreform-durchsetzen,LINKEN-Antrag ablehnen: Europäische Asylrechtsreform...,pro-opposition
v061,0.10426283100331554,0.04885830611772132,4866,Digitale Verkündung von Bundesgesetzen und Verordnungen,TRUE,Rechtsausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/digitale-verkuendung-von-bundesgesetzen-und-verordnungen,Digitale Verkündung von Bundesgesetzen und Verordnungen,pro-opposition
v088,0.1043728968871059,0.049736304739212964,5059,Grenzüberschreitendes Entsenderecht im Straßenverkehr,TRUE,Ausschuss für Arbeit und Soziales,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/grenzueberschreitendes-entsenderecht-im-strassenverkehr,Grenzüberschreitendes Entsenderecht im Straßenverkehr,pro-opposition
v096,0.10537852600210143,0.05841789962868431,5099,Suizidprävention stärken,TRUE,NA,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/suizidpraevention-staerken,Suizidprävention stärken,pro-opposition
v075,0.10543059421240776,0.056854699409202215,5005,Bewaffneter Streitkräfteeinsatz im Sudan,TRUE,NA,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/bewaffneter-streitkraefteeinsatz-im-sudan,Bewaffneter Streitkräfteeinsatz im Sudan,pro-opposition
v160,0.105540316585285,0.041881555523989485,5871,Verlässliches Hilfesystem bei geschlechtsspezifischer und häuslicher Gewalt,TRUE,"Ausschuss für Familie, Senioren, Frauen und Jugend",https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaessliches-hilfesystem-bei-geschlechtsspezifischer-und-haeuslicher-gewalt,Verlässliches Hilfesystem bei geschlechtsspezifische...,pro-opposition
