name,party,dim1_imp,dim1_dc
Albrecht Glaser,AfD,0.01053383658589383,0.034442139255319616
Alexander Gauland,AfD,0.009714453092598432,0.028446430012765735
Alice Weidel,AfD,0.012561286779756597,0.0289492026128595
Andreas Bleck,AfD,0.010953127619702397,0.03442451978930367
Barbara Benkstein,AfD,0.010800573145973272,0.027959127821554092
Beatrix von Storch,AfD,0.010725210944776107,0.03560808967296956
Bernd Baumann,AfD,0.010278929390223549,0.032066170123574836
Bernd Schattner,AfD,0.009499266178879213,0.031440505999920564
Carolin Bachmann,AfD,0.008362888983735606,0.02564291463796238
Christian Wirth,AfD,0.010152721709932585,0.033030716155612865
Christina Baum,AfD,0.007336275001488273,0.02526871771165643
Corinna Miazga,AfD,0.016488798161367783,4.114719237825791e-4
Dietmar Friedhoff,AfD,0.013462272131722915,0.02596190481480435
Dirk Brandes,AfD,0.010934648145709438,0.03342596794864839
Dirk Spaniel,AfD,0.010499306922157867,0.032244311270042195
Edgar Naujok,AfD,0.007822023811702853,0.022655489080144642
Enrico Komning,AfD,0.011388042411147638,0.030277497760933976
Eugen Schmidt,AfD,0.010897574883899612,0.030208675728983374
Fabian Jacobi,AfD,0.009793831681681681,0.03476801454853657
Frank Rinck,AfD,0.010009015926538325,0.03178088085615885
Gereon Bollmann,AfD,0.011086381520827462,0.031540339615089244
Gerold Otten,AfD,0.011085039998896198,0.028398855644528
Gerrit Huy,AfD,0.010207560847797,0.03435984992726531
Gottfried Curio,AfD,0.01024918549795702,0.031525959573091136
Götz Frömming,AfD,0.01043971594433439,0.03498594036594646
Hannes Gnauck,AfD,0.010640616844054188,0.034681948056925545
Harald Weyel,AfD,0.010224715761907848,0.027381742612891186
Jan Ralf Nolte,AfD,0.01190744958397728,0.034765222298183025
Jan Wenzel Schmidt,AfD,0.009587792712816382,0.027008285168051337
Joachim Wundrak,AfD,0.014027536919783702,0.03436448598160077
Jochen Haug,AfD,0.010128823313883015,0.025894288267397106
Jörg Schneider,AfD,0.010687410869435775,0.027820754228009434
Jörn König,AfD,0.011230636924309352,0.032783305275099525
Jürgen Braun,AfD,0.010944144570070017,0.03521281032666451
Jürgen Pohl,AfD,0.012596022387571083,0.02234834126980612
Karsten Hilse,AfD,0.007983416211087406,0.03208876615669243
Kay Gottschalk,AfD,0.009799457277715347,0.031006125737071295
Kay-Uwe Ziegler,AfD,0.008404423114214726,0.028339552808738736
Klaus Stöber,AfD,0.012368881352365128,0.02578795460578388
Leif-Erik Holm,AfD,0.011712881672157772,0.03199606324068747
Malte Kaufmann,AfD,0.010459881399458908,0.026063486242364313
Manfred Schiller,AfD,0.020979767561435082,0.004200554769656587
Marc Bernhard,AfD,0.009423637375248215,0.03219473011103212
Marc Jongen,AfD,0.011220620012141807,0.0196528454083324
Marcus Bühl,AfD,0.007442132207097446,0.03491994049800819
Mariana Harder-Kühnel,AfD,0.0124071905871224,0.018758406136516016
Markus Frohnmaier,AfD,0.011367189319769731,0.028146400089460625
Martin Erwin Renner,AfD,0.012673281010588663,0.022446820849785956
Martin Hess,AfD,0.012032531278288187,0.02689304319198384
Martin Reichardt,AfD,0.012471753199647488,0.026730352514426695
Martin Sichert,AfD,0.008874989834767429,0.030577319894772716
Matthias Moosdorf,AfD,0.01322652323976218,0.027485815259182374
Michael Espendiller,AfD,0.009513059360790962,0.03318756853029748
Michael Kaufmann,AfD,0.008126961771611511,0.03239764674229481
Mike Moncsek,AfD,0.00920702888035379,0.03193554303081748
Nicole Höchst,AfD,0.011476966138216735,0.030191232461696672
Norbert Kleinwächter,AfD,0.012141124416414916,0.03294418312592109
Peter Boehringer,AfD,0.009483077536429898,0.03216158480520438
Peter Felser,AfD,0.011799036986235495,0.03416049421758532
Petr Bystron,AfD,0.009041002734383553,0.015882393337617224
Rainer Kraft,AfD,0.010773856070030513,0.03974932647178437
Rainer Rothfuß,AfD,0.011709512266791976,0.021692421331454867
René Bochmann,AfD,0.008976817887424231,0.03439406475067847
René Springer,AfD,0.009034825017384188,0.022594365153785982
Roger Beckamp,AfD,0.013153111151954035,0.0281945427993244
Rüdiger Lucassen,AfD,0.010543861818058485,0.02793073859051731
Sebastian Münzenmaier,AfD,0.010972626701323434,0.03199230220986699
Stefan Keuter,AfD,0.010892875648891449,0.03227541157355278
Steffen Janich,AfD,0.0068101962613438,0.031413162939424553
Steffen Kotré,AfD,0.011716664447363637,0.03200925797141966
Stephan Brandner,AfD,0.008566797360685878,0.03247306262440036
Stephan Protschka,AfD,0.012016391019095797,0.031194170490156905
Thomas Dietz,AfD,0.010921184919158061,0.030588849915086702
Thomas Ehrhorn,AfD,0.010987870187595236,0.033012341268701194
Thomas Seitz,AfD,0.008717363273905427,0.028090137878996353
Tino Chrupalla,AfD,0.010123455956444531,0.030405248723393806
Tobias Matthias Peterka,AfD,0.008964973843945689,0.032857237624975805
Ulrike Schielke-Ziesing,AfD,0.008822666510871028,0.0311705644408481
Uwe Schulz,AfD,0.013236442675776568,0.015919337215575775
Volker Münz,AfD,0.0209797675614351,0.004200554769656578
Wolfgang Wiehle,AfD,0.009414253431285177,0.034765919283626774
Agnieszka Brugger,BÜNDNIS 90/DIE GRÜNEN,0.042997942546216354,-0.03129808310150801
Andreas Audretsch,BÜNDNIS 90/DIE GRÜNEN,0.04311573232313577,-0.03336231944272081
Anja Liebert,BÜNDNIS 90/DIE GRÜNEN,0.04312214679098734,-0.035397505173140706
Anja Reinalter,BÜNDNIS 90/DIE GRÜNEN,0.04314457455683687,-0.03399494265778177
Anna Christmann,BÜNDNIS 90/DIE GRÜNEN,0.04278394640473421,-0.031583494994930045
Anna Lührmann,BÜNDNIS 90/DIE GRÜNEN,0.04218084960885494,-0.03157673061858998
Annalena Baerbock,BÜNDNIS 90/DIE GRÜNEN,0.042634775912242226,-0.01845171205500126
Anne-Monika Spallek,BÜNDNIS 90/DIE GRÜNEN,0.04333333249636587,-0.029260486634738965
Anton Hofreiter,BÜNDNIS 90/DIE GRÜNEN,0.04305287183878033,-0.030320026083800116
Armin Grau,BÜNDNIS 90/DIE GRÜNEN,0.043024530014692954,-0.03285344493051353
Awet Tesfaiesus,BÜNDNIS 90/DIE GRÜNEN,0.04253642796280008,-0.03174033528744819
Beate Müller-Gemmeke,BÜNDNIS 90/DIE GRÜNEN,0.04186693214719554,-0.03269398804330016
Beate Walter-Rosenheimer,BÜNDNIS 90/DIE GRÜNEN,0.04180756063390464,-0.023287482904556584
Bernhard Herrmann,BÜNDNIS 90/DIE GRÜNEN,0.04282501468045018,-0.03273185279991072
Bettina Hoffmann,BÜNDNIS 90/DIE GRÜNEN,0.042889532270902156,-0.03341387481099743
Boris Mijatović,BÜNDNIS 90/DIE GRÜNEN,0.04321194981056402,-0.03284448515832902
Britta Haßelmann,BÜNDNIS 90/DIE GRÜNEN,0.04314327394429654,-0.03524673244512128
Bruno Hönel,BÜNDNIS 90/DIE GRÜNEN,0.04274852220520158,-0.03381699009841457
Canan Bayram,BÜNDNIS 90/DIE GRÜNEN,0.025948448245649958,-0.027600428426121808
Cem Özdemir,BÜNDNIS 90/DIE GRÜNEN,0.04339175562357525,-0.02720912803786453
Chantal Kopf,BÜNDNIS 90/DIE GRÜNEN,0.042308575820489275,-0.03205497994552706
Christian Kühn,BÜNDNIS 90/DIE GRÜNEN,0.04236906318443676,-0.02561519011726479
Christina-Johanne Schröder,BÜNDNIS 90/DIE GRÜNEN,0.04239937644087553,-0.027745173274020075
Claudia Müller,BÜNDNIS 90/DIE GRÜNEN,0.042647100172199325,-0.027455734545680305
Claudia Roth,BÜNDNIS 90/DIE GRÜNEN,0.041585928888085134,-0.028504020320770932
Corinna Rüffer,BÜNDNIS 90/DIE GRÜNEN,0.04089162421825516,-0.029982794899417464
Deborah Düring,BÜNDNIS 90/DIE GRÜNEN,0.042831066778163736,-0.035424518097209
Denise Loop,BÜNDNIS 90/DIE GRÜNEN,0.042673303811303284,-0.028543466215598206
Dieter Janecek,BÜNDNIS 90/DIE GRÜNEN,0.04307327858828789,-0.03436433727844929
Ekin Deligöz,BÜNDNIS 90/DIE GRÜNEN,0.04233793672185225,-0.023369051465312308
Emilia Fester,BÜNDNIS 90/DIE GRÜNEN,0.04274052213101613,-0.03317304547604104
Erhard Grundl,BÜNDNIS 90/DIE GRÜNEN,0.0417528581365349,-0.03131472726429604
Felix Banaszak,BÜNDNIS 90/DIE GRÜNEN,0.0423682278421636,-0.03185481277207739
Filiz Polat,BÜNDNIS 90/DIE GRÜNEN,0.04217291452719259,-0.0317111910067002
Frank Bsirske,BÜNDNIS 90/DIE GRÜNEN,0.04243684618311159,-0.0277244148573839
Franziska Brantner,BÜNDNIS 90/DIE GRÜNEN,0.04319866143984676,-0.030982923924431638
Franziska Krumwiede-Steiner,BÜNDNIS 90/DIE GRÜNEN,0.04229392805222421,-0.007068236979226281
Hanna Steinmüller,BÜNDNIS 90/DIE GRÜNEN,0.043214571470682514,-0.03533801020894857
Harald Ebner,BÜNDNIS 90/DIE GRÜNEN,0.04318804023377359,-0.030166416059974426
Helge Limburg,BÜNDNIS 90/DIE GRÜNEN,0.04285880534155434,-0.03219636582135046
Ingrid Nestle,BÜNDNIS 90/DIE GRÜNEN,0.0431755481432203,-0.03138182554436047
Irene Mihalic,BÜNDNIS 90/DIE GRÜNEN,0.043084480202110045,-0.03529087710432946
Jamila Anna Schäfer,BÜNDNIS 90/DIE GRÜNEN,0.04321871411655691,-0.030656452871505684
Jan-Niclas Gesenhues,BÜNDNIS 90/DIE GRÜNEN,0.04270757982291242,-0.033017242446040235
Janosch Dahmen,BÜNDNIS 90/DIE GRÜNEN,0.04267857137523673,-0.03187828797131717
Johannes F. Kretschmann,BÜNDNIS 90/DIE GRÜNEN,0.03595458348980966,-0.0020396279573502755
Johannes Wagner,BÜNDNIS 90/DIE GRÜNEN,0.04305340344108581,-0.03365259624216818
Julia Verlinden,BÜNDNIS 90/DIE GRÜNEN,0.04276907005787408,-0.03406617653986903
Julian Pahlke,BÜNDNIS 90/DIE GRÜNEN,0.04184671149823169,-0.030819767548914814
Jürgen Kretz,BÜNDNIS 90/DIE GRÜNEN,0.042339917763140965,-0.008411939633712045
Jürgen Trittin,BÜNDNIS 90/DIE GRÜNEN,0.04073849657372703,-0.021802628324215177
Kai Gehring,BÜNDNIS 90/DIE GRÜNEN,0.043101296829775676,-0.03515854160586974
Karl Bär,BÜNDNIS 90/DIE GRÜNEN,0.042254520690271226,-0.03376343806022484
Karoline Otte,BÜNDNIS 90/DIE GRÜNEN,0.042428156996006466,-0.0315771674353061
Kassem Taher Saleh,BÜNDNIS 90/DIE GRÜNEN,0.043215105582736134,-0.034507172528591444
Katharina Beck,BÜNDNIS 90/DIE GRÜNEN,0.04304898162197117,-0.03276273136236858
Katharina Dröge,BÜNDNIS 90/DIE GRÜNEN,0.04322386212033553,-0.03506375354027507
Kathrin Henneberger,BÜNDNIS 90/DIE GRÜNEN,0.04064278135039393,-0.02930424716974792
Katja Keul,BÜNDNIS 90/DIE GRÜNEN,0.04288564255202374,-0.0325316020041196
Katrin Göring-Eckardt,BÜNDNIS 90/DIE GRÜNEN,0.04305338730905695,-0.03147865324501067
Katrin Uhlig,BÜNDNIS 90/DIE GRÜNEN,0.04323286527342545,-0.034314834269253296
Kirsten Kappert-Gonther,BÜNDNIS 90/DIE GRÜNEN,0.04314854495359333,-0.032890264392072245
Konstantin von Notz,BÜNDNIS 90/DIE GRÜNEN,0.04311373026808282,-0.03307278617717594
Kordula Schulz-Asche,BÜNDNIS 90/DIE GRÜNEN,0.043410828863751395,-0.03339347287730762
Lamya Kaddor,BÜNDNIS 90/DIE GRÜNEN,0.043217184269753524,-0.03112278168295318
Laura Kraft,BÜNDNIS 90/DIE GRÜNEN,0.04328903130126823,-0.032440012535958
Leon Eckert,BÜNDNIS 90/DIE GRÜNEN,0.043219049187302475,-0.034306197106077886
Linda Heitmann,BÜNDNIS 90/DIE GRÜNEN,0.043138492817083735,-0.03513640460061754
Lisa Badum,BÜNDNIS 90/DIE GRÜNEN,0.042908506007531794,-0.030123139704257566
Lisa Paus,BÜNDNIS 90/DIE GRÜNEN,0.043239392124714886,-0.02847326776689501
Luise Amtsberg,BÜNDNIS 90/DIE GRÜNEN,0.04375208712158593,-0.024469279203248658
Lukas Benner,BÜNDNIS 90/DIE GRÜNEN,0.04327752442617194,-0.034364373721170384
Maik Außendorf,BÜNDNIS 90/DIE GRÜNEN,0.043126855460195665,-0.035397354851850624
Manuela Rottmann,BÜNDNIS 90/DIE GRÜNEN,0.04316506917441769,-0.03212173992005586
Marcel Emmerich,BÜNDNIS 90/DIE GRÜNEN,0.043071016445688386,-0.03523086097943661
Maria Klein-Schmeink,BÜNDNIS 90/DIE GRÜNEN,0.04345745221390019,-0.030308394319110633
Markus Kurth,BÜNDNIS 90/DIE GRÜNEN,0.04295339345151815,-0.028508507669788002
Marlene Schönberger,BÜNDNIS 90/DIE GRÜNEN,0.04258014326955631,-0.03433119879161673
Matthias Gastel,BÜNDNIS 90/DIE GRÜNEN,0.043126855460195665,-0.03539735485185062
Max Lucks,BÜNDNIS 90/DIE GRÜNEN,0.04249216388341305,-0.03154670271339037
Melis Sekmen,BÜNDNIS 90/DIE GRÜNEN,0.04241486445975826,-0.02414721136710472
Merle Spellerberg,BÜNDNIS 90/DIE GRÜNEN,0.04308374861439657,-0.03254107199753429
Michael Kellner,BÜNDNIS 90/DIE GRÜNEN,0.042248370245700585,-0.031137765159395404
Michael Sacher,BÜNDNIS 90/DIE GRÜNEN,0.04267274064707353,-0.027468981858908476
Misbah Khan,BÜNDNIS 90/DIE GRÜNEN,0.04312374793468906,-0.035312421387322275
Niklas Wagener,BÜNDNIS 90/DIE GRÜNEN,0.04320860784992003,-0.03441240764404551
Nina Stahr,BÜNDNIS 90/DIE GRÜNEN,0.042825020321697695,-0.028156495781231226
Nyke Slawik,BÜNDNIS 90/DIE GRÜNEN,0.04266608563808546,-0.028618446304931752
Oliver Krischer,BÜNDNIS 90/DIE GRÜNEN,0.03767383022728253,-0.005405271892328555
Omid Nouripour,BÜNDNIS 90/DIE GRÜNEN,0.042846039669126215,-0.030781523230939252
Ophelia Nick,BÜNDNIS 90/DIE GRÜNEN,0.042748095968552835,-0.03329215352555033
Ottmar von Holtz,BÜNDNIS 90/DIE GRÜNEN,0.04165680507039436,-0.009422143649918667
Paula Piechotta,BÜNDNIS 90/DIE GRÜNEN,0.04304252832232672,-0.03365692956929622
Philip Krämer,BÜNDNIS 90/DIE GRÜNEN,0.04320045601090442,-0.030397065341099823
Renate Künast,BÜNDNIS 90/DIE GRÜNEN,0.043122319505812544,-0.035397351645217665
Ricarda Lang,BÜNDNIS 90/DIE GRÜNEN,0.0431244515982317,-0.027845499159082916
Robert Habeck,BÜNDNIS 90/DIE GRÜNEN,0.04296089252226279,-0.03317481631724203
Robin Wagener,BÜNDNIS 90/DIE GRÜNEN,0.042295804378753424,-0.029537539399738324
Sabine Grützmacher,BÜNDNIS 90/DIE GRÜNEN,0.0402154020716767,-0.022467268946261165
Sandra Detzer,BÜNDNIS 90/DIE GRÜNEN,0.04311588413388431,-0.034460319864591644
Sara Nanni,BÜNDNIS 90/DIE GRÜNEN,0.04323447935373695,-0.033462173266096074
Sascha Müller,BÜNDNIS 90/DIE GRÜNEN,0.0431147375089829,-0.035399145606594073
Saskia Weishaupt,BÜNDNIS 90/DIE GRÜNEN,0.042744318858840856,-0.0313768194439942
Schahina Gambir,BÜNDNIS 90/DIE GRÜNEN,0.04257142604875825,-0.031328729887634924
Sebastian Schäfer,BÜNDNIS 90/DIE GRÜNEN,0.043226745664433144,-0.033255061281993674
Stefan Gelbhaar,BÜNDNIS 90/DIE GRÜNEN,0.042748101315957535,-0.03315097209641593
Stefan Schmidt,BÜNDNIS 90/DIE GRÜNEN,0.04309833228966592,-0.03536202845303954
Stefan Wenzel,BÜNDNIS 90/DIE GRÜNEN,0.04240546690103844,-0.030440813362151216
Steffi Lemke,BÜNDNIS 90/DIE GRÜNEN,0.041657185114919254,-0.02027411638960991
Stephanie Aeffner,BÜNDNIS 90/DIE GRÜNEN,0.04183452505021811,-0.02808351333914138
Susanne Menge,BÜNDNIS 90/DIE GRÜNEN,0.043078937919164555,-0.032066448436178646
Sven Lehmann,BÜNDNIS 90/DIE GRÜNEN,0.042618847513106954,-0.030875183748732743
Sven-Christian Kindler,BÜNDNIS 90/DIE GRÜNEN,0.04273947476890412,-0.02536002937981899
Swantje Michaelsen,BÜNDNIS 90/DIE GRÜNEN,0.04252462173993284,-0.032037555788985386
Tabea Rößner,BÜNDNIS 90/DIE GRÜNEN,0.04255494557711574,-0.03315830088311059
Tessa Ganserer,BÜNDNIS 90/DIE GRÜNEN,0.042735864085716245,-0.02228978603328279
Till Steffen,BÜNDNIS 90/DIE GRÜNEN,0.04322407725206181,-0.033204742698075225
Tina Winklmann,BÜNDNIS 90/DIE GRÜNEN,0.04280712221816963,-0.033365011001988916
Tobias B. Bacherle,BÜNDNIS 90/DIE GRÜNEN,0.043089022855585454,-0.03350475154247618
Tobias Lindner,BÜNDNIS 90/DIE GRÜNEN,0.0428929917804777,-0.028268556890711016
Ulle Schauws,BÜNDNIS 90/DIE GRÜNEN,0.042333723416400376,-0.024457533447919268
Uwe Kekeritz,BÜNDNIS 90/DIE GRÜNEN,0.03270061877200554,-0.0017369548276746016
Wolfgang Strengmann-Kuhn,BÜNDNIS 90/DIE GRÜNEN,0.041638746634051003,-0.030267237789667393
Zoe Mayer,BÜNDNIS 90/DIE GRÜNEN,0.042784878238925954,-0.03093079034714878
Albert Rupprecht,CDU/CSU,0.028992824758857758,0.05485066821141118
Albert Stegemann,CDU/CSU,0.029805621682585253,0.05257118519356756
Alexander Dobrindt,CDU/CSU,0.029273649672252718,0.054659391104841845
Alexander Engelhard,CDU/CSU,0.03223068279907825,0.04407737610949644
Alexander Föhr,CDU/CSU,0.03205283092965989,0.03212577584575578
Alexander Hoffmann,CDU/CSU,0.029221027076711373,0.056535420445939635
Alexander Radwan,CDU/CSU,0.029697669588103624,0.05618014172371507
Alexander Throm,CDU/CSU,0.030038926572360555,0.055185098782996544
Alois Rainer,CDU/CSU,0.029090941039014995,0.05677165116252601
Andrea Lindholz,CDU/CSU,0.029051902567907458,0.051009025988109837
Andreas Jung,CDU/CSU,0.029841811575592153,0.051821829753748265
Andreas Lenz,CDU/CSU,0.029381753794200476,0.053835725216532675
Andreas Mattfeldt,CDU/CSU,0.030279118594321277,0.04064924242349926
Andreas Scheuer,CDU/CSU,0.028950110035249835,0.03736294397482
André Berghegger,CDU/CSU,0.029508271189012995,0.03948416326587969
Anja Karliczek,CDU/CSU,0.0300014768153622,0.05455417848730155
Anja Weisgerber,CDU/CSU,0.030044652190136634,0.05405818876879057
Anne Janssen,CDU/CSU,0.028964942224028983,0.055381627820708525
Anne König,CDU/CSU,0.030229895259555953,0.04386931471499276
Annette Widmann-Mauz,CDU/CSU,0.03023174211890414,0.049005454841260426
Ansgar Heveling,CDU/CSU,0.02917684034009752,0.05548444022584352
Antje Tillmann,CDU/CSU,0.029686636350216525,0.051831776943048906
Armin Laschet,CDU/CSU,0.029476809350434098,0.044531192180961715
Armin Schwarz,CDU/CSU,0.02962131647372333,0.034701642016851685
Artur Auernhammer,CDU/CSU,0.03091187667562253,0.04877364802491673
Astrid Damerow,CDU/CSU,0.03073664415479032,0.0447389824013191
Astrid Mannes,CDU/CSU,0.034023839418625225,0.014601446450957307
Astrid Timmermann-Fechter,CDU/CSU,0.029906418871116853,0.042356836879484515
Axel Knoerig,CDU/CSU,0.03001462598670275,0.050036297646881917
Axel Müller,CDU/CSU,0.029365667698574086,0.05819294429253024
Bernhard Loos,CDU/CSU,0.029263098430705004,0.05477879063048193
