name,estimate,lo,hi,err,party
Achim Post,-1.1891001808936532,-0.44015437294537435,-2.3774314968410133,0.6058999420820207,SPD
Adis Ahmetović,-0.7253101214811004,-0.2788363346492212,-1.2556119986187575,0.2830263534340078,SPD
Agnieszka Brugger,-0.8946026257312746,-0.36211987284525327,-1.3032807402936637,0.24195586437716507,BÜNDNIS 90/DIE GRÜNEN
Albert Rupprecht,1.03547670801574,1.1156891467671397,0.8932947596736192,0.06399980630327215,CDU/CSU
Albert Stegemann,0.9128964081640956,1.0477010288548638,0.808626059400229,0.069592635019158,CDU/CSU
Albrecht Glaser,1.435228027048362,1.5240553625775668,1.4045680287506324,0.02973916891587704,AfD
Alexander Bartz,-0.58084951292272,0.1154681240880924,-1.9130724305796525,0.5739343840659411,SPD
Alexander Dobrindt,0.982244822759431,1.06905180548967,0.8539616855246994,0.061131620659728145,CDU/CSU
Alexander Engelhard,0.9266074515897614,1.0218651210099137,0.8196358811973806,0.05403718238916626,CDU/CSU
Alexander Föhr,0.9946468152517628,1.11429300155297,0.8594538095716218,0.0645875139579299,CDU/CSU
Alexander Gauland,1.5865192360562355,1.7566957903727163,1.4381055147583939,0.09398436075051345,AfD
Alexander Graf Lambsdorff,-0.34586426132827763,0.16435822714306966,-1.1020748919357164,0.36687634906517036,FDP
Alexander Hoffmann,0.9299771911342761,1.0157982389398126,0.8648206233794924,0.04148652322762044,CDU/CSU
Alexander Müller,-0.3004041373243798,0.05927457764225458,-0.5972047503812855,0.17530176705972492,FDP
Alexander Radwan,0.9686027325787965,1.0549449161970008,0.8430434999191425,0.06350717528055037,CDU/CSU
Alexander Throm,0.965466055733122,1.0530302221885808,0.8817274114985814,0.04595986829683823,CDU/CSU
Alexander Ulrich,1.3835216380047173,1.3998891583058521,1.3585485075643668,0.012510197914677447,DIE LINKE.
Ali Al-Dailami,1.3826237417401086,1.398994490522433,1.3607087452590676,0.010513462770978714,DIE LINKE.
Alice Weidel,1.5181449682711745,1.6167402804923314,1.4176554438649216,0.052549225200295854,AfD
Alois Rainer,0.9701212146193605,1.075140742823316,0.8270003079508167,0.060799928903205736,CDU/CSU
Amira Mohamed Ali,1.3807051633934952,1.3984988646114251,1.357963786046859,0.011399948067174266,DIE LINKE.
Ana-Maria Trăsnea,-0.8975764328017131,0.1355632765303086,-2.1388446661996685,0.6590022856060719,SPD
André Berghegger,0.9415276655500981,1.0478721465113205,0.81805653368994,0.06005999134994985,CDU/CSU
André Hahn,1.3491046940617943,1.3766641622310822,1.2960727455289074,0.019495102576426667,DIE LINKE.
Andrea Lindholz,0.9472418864421406,1.0575876279862841,0.8466468259738085,0.059016115118638864,CDU/CSU
Andreas Audretsch,-0.8115954033600848,-0.20794000645304894,-1.6900829007462668,0.40143708112129506,BÜNDNIS 90/DIE GRÜNEN
Andreas Bleck,1.473639964068643,1.5672065293991397,1.4014273593126316,0.042664278091258535,AfD
Andreas Jung,0.97076985574804,1.0704413066281095,0.8356381043931417,0.06421196032988001,CDU/CSU
Andreas Larem,-1.5560756741328459,-0.4286859295055838,-2.800223112833301,0.7154965459837507,SPD
Andreas Lenz,0.9632372422227656,1.0501522382312618,0.8266749439653808,0.053001855521779426,CDU/CSU
Andreas Mattfeldt,0.9814771054066579,1.071200089033445,0.8669077176246106,0.06124056668132268,CDU/CSU
Andreas Mehltretter,-1.1915142602835096,-0.4114696383039768,-2.1379717453552995,0.5246326321146543,SPD
Andreas Philippi,-0.7369794994031584,0.0942492082238951,-1.6524576638488637,0.4770804029907012,SPD
Andreas Rimkus,-0.642224702378987,-0.24509305273974843,-0.9270457756063192,0.18008697383238678,SPD
Andreas Scheuer,0.9808027555972072,1.0914586709140806,0.8425033242707238,0.06659959938720157,CDU/CSU
Andreas Schwarz,-0.7770040071783211,-0.13699397437892344,-1.2076708434601962,0.29571554077853146,SPD
Andrej Hunko,1.3816311935076344,1.3983072937871275,1.3607771770433765,0.011432472725225013,DIE LINKE.
Andrew Ullmann,-0.6378034237121335,-0.042803408474288346,-1.1427392050335008,0.33205210253436623,FDP
Anette Kramme,-0.99434139367577,-0.6382823401075562,-1.3909422205844422,0.20290241180358265,SPD
Angela Hohmann,-0.5222454179945066,0.13140560134838347,-0.9904325873601807,0.33734408042820074,SPD
Angelika Glöckner,-1.102640450622931,-0.47499113012057376,-1.9124791980277718,0.35485968123736367,SPD
Anikó Glogowski-Merten,-0.1600398915414241,0.15547595707751274,-0.707587714415866,0.23550358578543462,FDP
Anja Karliczek,0.9700208739844532,1.0622521458300236,0.8392495636674246,0.05977223351004308,CDU/CSU
Anja Liebert,-1.0919914327438411,-0.5330805502715271,-2.1748694571049434,0.5057395421430891,BÜNDNIS 90/DIE GRÜNEN
Anja Reinalter,-1.173217038296421,-0.037946062923960404,-2.1002161308573952,0.46757152538830704,BÜNDNIS 90/DIE GRÜNEN
Anja Schulz,0.066185278622504,0.3015797131004606,-0.27570211108708087,0.16154647997210073,FDP
Anja Troff-Schaffarzyk,-1.2787902461128198,-0.3953637484929082,-2.0401291535247212,0.5107254562574256,SPD
Anja Weisgerber,0.9707576247669553,1.082888621406331,0.8255289772393855,0.07839294000396313,CDU/CSU
Anke Domscheit-Berg,1.3141017832836626,1.3598383123198121,1.2798475558227214,0.022376576571630828,DIE LINKE.
Anke Hennig,-1.031589800103939,-0.367699689870672,-1.550357662509466,0.3450477938115465,SPD
Ann-Veruschka Jurisch,-0.20198417423382684,0.1345055789042984,-0.6331642428848856,0.1977873365430534,FDP
Anna Christmann,-1.2306708392065986,-0.4090721831574829,-1.8587330598047596,0.44955460663731134,BÜNDNIS 90/DIE GRÜNEN
Anna Kassautzki,0.16889729510155174,0.34582908329684325,-0.03137800416809602,0.10135082418821438,SPD
Anna Lührmann,-1.0905236189920973,-0.06893150063569509,-1.6394620801128905,0.3895253123415562,BÜNDNIS 90/DIE GRÜNEN
Annalena Baerbock,-0.8948339019273891,-0.002380533323987278,-1.6719847712473086,0.4666390213796096,BÜNDNIS 90/DIE GRÜNEN
Anne Janssen,0.9674649924263145,1.0695176228696865,0.8393480928385783,0.061455490554892266,CDU/CSU
Anne König,0.9434541944080008,1.063658388709256,0.813874792534914,0.07065366262170145,CDU/CSU
Anne-Monika Spallek,-1.2128502864731843,-0.2719076880209696,-2.1529803587625684,0.47182471247021074,BÜNDNIS 90/DIE GRÜNEN
Annette Widmann-Mauz,0.8967497340067097,1.0365547684241263,0.7995110057737693,0.07285722985826092,CDU/CSU
Annika Klose,-0.3294082170680512,0.11168888449594534,-0.7344862878198822,0.2118633178695351,SPD
Ansgar Heveling,0.9762272561115795,1.0750523328501458,0.8601275089519169,0.05969404163691538,CDU/CSU
Antje Tillmann,0.9582711233375216,1.0650312806689968,0.8332678116894319,0.06636888612893702,CDU/CSU
Anton Hofreiter,-0.6400697831365322,-0.05850101782334508,-1.5222595461182118,0.35864954404487875,BÜNDNIS 90/DIE GRÜNEN
Ariane Fäscher,-0.547872752562101,-0.2636923241646788,-0.9214066364337096,0.15272034526659503,SPD
Armand Zorn,-1.145423066143685,-0.39593416756616373,-2.21620241916012,0.4865320913056788,SPD
Armin Grau,-0.6701895385948627,-0.10551366215267989,-1.9282396881745807,0.5008921857399528,BÜNDNIS 90/DIE GRÜNEN
Armin Laschet,0.9429870014540302,1.0585668593249913,0.7982222835848776,0.07256332061136618,CDU/CSU
Armin Schwarz,0.9754721255150495,1.0740727381118633,0.8158373710561324,0.06813307079493285,CDU/CSU
Artur Auernhammer,0.9256077698073288,1.0699049526122155,0.8077571879432135,0.08182959883166774,CDU/CSU
Astrid Damerow,0.9820871355926156,1.075973047871829,0.8538269564903422,0.06124122342884899,CDU/CSU
Astrid Mannes,0.9285172946647265,1.068736081763044,0.7623964296453676,0.0667087183390933,CDU/CSU
Astrid Timmermann-Fechter,0.9648063337880775,1.0692323363966456,0.8794832471567886,0.05338670364811381,CDU/CSU
Ates Gürpinar,1.3403886407101406,1.3695972178008686,1.299040974297551,0.018294059483305314,DIE LINKE.
Awet Tesfaiesus,-0.5749399824955611,0.12090809975514996,-1.4992035862785333,0.6274738745584905,BÜNDNIS 90/DIE GRÜNEN
Axel Echeverria,-0.09588631366591945,0.2299582651035958,-0.4373658053193129,0.1874643581800033,SPD
Axel Knoerig,0.9266696560900197,1.0423711105141273,0.8111773725311257,0.07104828315992627,CDU/CSU
Axel Müller,0.9744728487050459,1.0720762537479624,0.832669261549389,0.061990044927362375,CDU/CSU
Axel Schäfer,-0.7614894766397129,-0.22308684814756344,-1.1096393219251857,0.22808174979270968,SPD
Aydan Özoğuz,-0.9456524454346239,-0.3280765669508723,-2.407328985929624,0.5577911379744125,SPD
Barbara Benkstein,1.5009045473713134,1.5926709447928329,1.4002751594182827,0.05304608970696083,AfD
Bärbel Bas,-1.0802397991047723,-0.19882557579542742,-2.1793745651725978,0.5524605487490407,SPD
Bärbel Kofler,-1.2705572081180085,-0.19646082073343216,-2.0479034516341144,0.5192616268765512,SPD
Beate Müller-Gemmeke,0.0036205985587337485,0.2543656722896907,-0.24263979358085042,0.13247559204514547,BÜNDNIS 90/DIE GRÜNEN
Beate Walter-Rosenheimer,0.09993073896944908,0.34152269128534724,-0.15611575175047607,0.12743487161470393,BÜNDNIS 90/DIE GRÜNEN
Beatrix von Storch,1.464425585015374,1.626226054718758,1.404708621004261,0.046588531583063635,AfD
Bengt Bergt,-0.9616034295014676,-0.15535615460658786,-2.0079184476842635,0.4343575692518806,SPD
Benjamin Strasser,-0.1856751237874566,0.12139671968370848,-0.458945115488081,0.16691031707867884,FDP
Bernd Baumann,1.451766440954405,1.576027121118759,1.3982155639206968,0.04679658441560813,AfD
Bernd Reuther,-0.35278459861454003,0.10442502592055397,-1.0012644630294494,0.2949365466799792,FDP
Bernd Riexinger,1.3333014351819616,1.3707737227585093,1.2723714029132451,0.02585709329098349,DIE LINKE.
Bernd Rützel,-0.7138863366836372,0.04513784048363632,-1.6793378085506827,0.436245820753507,SPD
Bernd Schattner,1.5450461708895284,1.7567559607270757,1.4149117405557181,0.09596375904601064,AfD
Bernd Westphal,-1.0996025134808534,-0.2971277107161603,-2.9679019657577204,0.5372061958917069,SPD
Bernhard Daldrup,-1.3528213377416525,-0.25361273665168366,-2.5391587995249294,0.5275412646707945,SPD
Bernhard Herrmann,-0.5270374404803243,-0.018626793130624587,-1.4317099695461786,0.3956538847516391,BÜNDNIS 90/DIE GRÜNEN
Bernhard Loos,0.9350792281461382,1.01179949657402,0.8261336651305188,0.04426963718761495,CDU/CSU
Bettina Hagedorn,-1.1344793753463525,-0.3713059412606849,-1.9422158788180028,0.39476414110465374,SPD
Bettina Hoffmann,-1.1484942326234322,-0.5651521892873059,-1.93771422347408,0.316589923464018,BÜNDNIS 90/DIE GRÜNEN
Bettina Lugk,-0.7630359399186785,-0.16068178707636255,-1.6611559475620639,0.367628787641946,SPD
Bettina Müller,-0.5010778179227104,0.03372362363514153,-1.3097766547080767,0.34199975335457045,SPD
Bettina Stark-Watzinger,-0.13362536746842799,0.1765529362164094,-0.7805885117562885,0.2115191122813578,FDP
Bettina Wiesmann,0.9076595501665241,1.0796740265880382,0.6964774136371488,0.10131945132735326,CDU/CSU
Bijan Djir-Sarai,-0.11073366419209188,0.245015301442312,-0.5731964798507693,0.1998041771774599,FDP
Björn Simon,0.9594069185704721,1.0386062004466663,0.8609036536470919,0.049725287082621014,CDU/CSU
Boris Mijatović,-0.8139314589898071,-0.1313816430499648,-1.71525353813097,0.37506176229196314,BÜNDNIS 90/DIE GRÜNEN
Brian Nickholz,-0.9091178414742644,-0.2216393081803819,-1.6928427019380274,0.3828453497524078,SPD
Britta Haßelmann,-0.93824121431784,-0.39665096524553545,-1.9375807801362583,0.45866147440312693,BÜNDNIS 90/DIE GRÜNEN
Bruno Hönel,-1.0416341861179894,-0.2665840849027578,-1.9955333417176915,0.44551843884948467,BÜNDNIS 90/DIE GRÜNEN
Canan Bayram,1.0888287773483063,1.1341166761734873,1.0552904287942821,0.019400835630187616,BÜNDNIS 90/DIE GRÜNEN
Cansel Kiziltepe,-1.0285248678626329,0.09221105981910649,-2.6060713238164563,0.8217604461006203,SPD
Caren Lay,1.3239725865557126,1.375404521096658,1.2510757240296746,0.03313882229591604,DIE LINKE.
Carina Konrad,-0.17753004930358193,0.11208424670606161,-0.7867951805706186,0.24988491445479968,FDP
Carl-Julius Cronenberg,-0.22129720065533315,0.09299365414933673,-0.6156916300664415,0.18065188637282614,FDP
Carlos Kasper,-0.16817116109550018,0.15034710273444332,-0.6719634895808041,0.2112456021786145,SPD
Carmen Wegge,-0.6297897789914345,-0.18843691186396178,-1.175387205224407,0.280169456057321,SPD
Carolin Bachmann,1.7987610908917315,2.044132125024126,1.5694559342805827,0.12356689724597007,AfD
Carolin Wagner,-0.2422552091092288,0.2114640113527465,-0.6764448358236461,0.3005934275762348,SPD
Carsten Brodesser,0.9673496973403034,1.0521564439928985,0.8345223362138443,0.06376318991675281,CDU/CSU
Carsten Körber,0.9186476128464699,1.0697333984193804,0.7909089871331,0.08900156860556808,CDU/CSU
Carsten Linnemann,0.9910496505574888,1.0901105125870885,0.8571283534875773,0.05727820530080703,CDU/CSU
Carsten Müller,0.936952594442511,1.0427357877735883,0.8440507590260897,0.05510295010332968,CDU/CSU
Carsten Schneider,-1.0298000327409924,-0.28909508261487005,-2.659914239837023,0.6234499750451827,SPD
Carsten Träger,-1.6696541974627388,-0.48419661511833545,-2.993456440993195,0.7053821313006232,SPD
Catarina dos Santos-Wintz,0.9428486855529796,1.048390946268891,0.8460378184125041,0.05433072271022504,CDU/CSU
Cem Özdemir,-0.793770208981656,-0.09647486715572759,-1.6969981056516596,0.4246155897436533,BÜNDNIS 90/DIE GRÜNEN
Chantal Kopf,-1.016574805197702,-0.3421485074749242,-1.9896211404737565,0.4506142186525273,BÜNDNIS 90/DIE GRÜNEN
Christian Bartelt,-0.36284817554693843,0.20295451079554677,-0.957080682629869,0.29905677313474405,FDP
Christian Dürr,-0.13445077252495102,0.1749510301365817,-0.5406414787239447,0.20191862123288476,FDP
Christian Görke,1.3399623999857275,1.3752916086582327,1.295905054074918,0.023956709655408633,DIE LINKE.
Christian Haase,0.9926213376089036,1.0799309410417008,0.8535888852268031,0.05720956572371123,CDU/CSU
Christian Hirte,0.9580592358542556,1.0489512521300044,0.8547826688737669,0.05127168719048113,CDU/CSU
Christian Kühn,-0.9777881454540902,-0.0746217045036286,-2.145134823875156,0.5832373149158767,BÜNDNIS 90/DIE GRÜNEN
Christian Leye,1.381532061292603,1.4007071421409383,1.3589230192920356,0.011891736941128791,DIE LINKE.
Christian Lindner,-0.03281271380032191,0.33830918417122446,-0.6717462020828194,0.2480947299865053,FDP
Christian Petry,-0.802119404590693,-0.17047497060517341,-1.8046718340258108,0.42446581879175016,SPD
Christian Sauter,0.13649580497297462,0.3282377318940257,-0.12230553746922262,0.12194976609766063,FDP
Christian Schreider,-1.6211753958907185,-0.14374869232761134,-2.61404673908963,0.8758020920698568,SPD
Christian von Stetten,0.9782483861842906,1.073908283303354,0.8214017415168252,0.06910516416750037,CDU/CSU
Christian Wirth,1.4415865725002366,1.4970134138443307,1.3954375708779265,0.02990250005926665,AfD
Christiane Schenderlein,0.9356732859191512,1.048285949151062,0.8068519425654433,0.0697471407085262,CDU/CSU
Christina Baum,1.667269648547498,1.9058687079349301,1.44367767892096,0.11525761225331879,AfD
Christina Stumpp,0.9311060050619447,1.0388740235571903,0.7885296201509101,0.07657487189195875,CDU/CSU
Christina-Johanne Schröder,-0.8170033436912787,0.020051457598251474,-1.4873496337911338,0.413659349906895,BÜNDNIS 90/DIE GRÜNEN
Christine Aschenberg-Dugnus,-0.3579871666443536,0.021368318755451227,-0.7697471020108727,0.20680467642920367,FDP
Christoph de Vries,0.983904582235875,1.0623237723484176,0.8681133546065316,0.05334751907928099,CDU/CSU
Christoph Hoffmann,-0.23674774810608942,0.10661803909250629,-0.6554703869400986,0.21853893253756998,FDP
Christoph Meyer,-0.15423586884863547,0.12514296277536352,-0.7336825430051832,0.209926341504343,FDP
Christoph Ploß,0.9956505028101351,1.0973378324696432,0.8865759687471859,0.056361503916073,CDU/CSU
Christoph Schmid,-1.427810707272491,-0.4195054482503645,-2.3455755314793794,0.5549506450801722,SPD
Christos Pantazis,-0.9808614789446788,-0.09099752088253316,-1.640331177286209,0.5096591762366092,SPD
Clara Bünger,1.339049871266083,1.3796045849948144,1.2783223272163662,0.028622966202099035,DIE LINKE.
Claudia Moll,-0.951096337720819,-0.27056494339547654,-1.5430488970644523,0.3293375802938981,SPD
Claudia Müller,-1.4982021964501986,-0.22787420612014886,-2.749088415966088,0.5997241409871097,BÜNDNIS 90/DIE GRÜNEN
Claudia Raffelhüschen,-0.6348857114506807,0.007187584563575618,-1.2380270872436616,0.4009297674540799,FDP
Claudia Roth,-1.4245271591320277,0.041383823453052096,-2.297930095976026,0.7872058117695051,BÜNDNIS 90/DIE GRÜNEN
Claudia Tausend,-1.214689361679826,-0.24774160646460552,-2.761120416944679,0.724282468536586,SPD
Corinna Miazga,1.435170286068653,1.8349156111414968,0.9685602307798987,0.21715382779782297,AfD
Corinna Rüffer,0.2405238174899777,0.36035085449136534,0.036996692249813126,0.0817102542927787,BÜNDNIS 90/DIE GRÜNEN
Cornelia Möhring,1.3141354618877332,1.383036128678208,1.2521100032104377,0.038374172819298995,DIE LINKE.
Dagmar Andres,-0.8330228188904266,0.009848255330972078,-1.765095995168898,0.44814871437506926,SPD
Dagmar Schmidt,-0.7996756109302061,-0.12001324629824876,-1.7346701788329115,0.4727552403874977,SPD
Daniel Baldy,-0.7584202312792654,-0.13624809419358674,-1.223969775652353,0.33697561186389585,SPD
Daniel Föst,-0.6652212287107321,-0.024003591882515257,-1.3092782508300853,0.3955774504499322,FDP
Daniel Rinkert,-0.966651498268225,-0.1400793339359141,-2.1253145142424863,0.5883595825751423,SPD
Daniel Schneider,-1.3155661508753846,-0.5456997571462195,-2.163963290842801,0.4119972327164172,SPD
Daniela De Ridder,-0.688630188260936,-0.13720994532588413,-1.358856831685523,0.3981761203379155,SPD
Daniela Kluckert,-0.25681536481383843,0.13335617939292113,-0.8543473092328862,0.24300481290396342,FDP
Daniela Ludwig,0.9778013398453751,1.0793574792018863,0.8201083205801386,0.07633533966052693,CDU/CSU
Deborah Düring,0.12593714778564177,0.31292737436804596,-0.12825679356651204,0.11559754964050685,BÜNDNIS 90/DIE GRÜNEN
Denise Loop,-1.4376761802207996,-0.354824900462415,-2.9501512477350724,0.6093596164683709,BÜNDNIS 90/DIE GRÜNEN
Dennis Rohde,-1.2620567534755898,-0.3949520211290619,-2.226127364404031,0.504715198786906,SPD
Derya Türk-Nachbaur,-0.4936483557550977,-0.13883821964355125,-1.1996629664670813,0.2632453052107356,SPD
Detlef Müller,-1.22382095721723,-0.32134426652701376,-2.62981974467335,0.7722692865019198,SPD
Detlef Seif,0.9566102469212379,1.037521911714845,0.851082780603888,0.05391848077325268,CDU/CSU
Diana Stöcker,0.9098249058571541,1.0567422065837597,0.7809641284061676,0.07710394197101647,CDU/CSU
Dieter Janecek,-0.8958264957346358,-0.40701152527014917,-1.1433439424366592,0.20521636179583622,BÜNDNIS 90/DIE GRÜNEN
Dieter Stier,0.9518476254581006,1.0686242693646903,0.8586927588595563,0.05844088412834968,CDU/CSU
Dietmar Bartsch,1.3329698604713958,1.3696209135371145,1.2667929229431618,0.022642955828447116,DIE LINKE.
Dietmar Friedhoff,1.4072964884689745,1.433206199786532,1.3796062603142438,0.014809671775875098,AfD
Dietmar Nietan,-0.6697240159170496,-0.05579096052868771,-1.6964240178371306,0.4243871937232599,SPD
Dietrich Monstadt,0.9820004851746834,1.0664314171357612,0.8809338618076475,0.0521659998739473,CDU/CSU
Dirk Brandes,1.4645155480011334,1.5482853132495888,1.3959931938327514,0.04747090246803084,AfD
Dirk Heidenblut,-0.9229536175542081,0.09691755053938003,-2.127722453299313,0.7753077149874273,SPD
Dirk Spaniel,1.5095017201171204,1.623280831239347,1.4136644030703585,0.04772829186465588,AfD
Dirk Vöpel,-0.5942886510427429,-0.1891173849499285,-1.3068934488512278,0.2920533531756124,SPD
Dirk Wiese,-1.2251480935444743,-0.13011232614057117,-1.9367585903622817,0.5316559697510753,SPD
Dirk-Ulrich Mende,-0.21362228572133687,0.1763678839620587,-0.6265443722266678,0.2128263438373808,SPD
Dorothee Bär,0.9495160456946223,1.0427528614047887,0.848479495797205,0.04646585862177518,CDU/CSU
Dorothee Martin,-1.3391888868513648,-0.2228734670218891,-2.87831300441674,0.6907185472245995,SPD
Dunja Kreiser,-0.9781832073208404,-0.3961968867250608,-1.9586566222947082,0.39833421281549253,SPD
Edgar Franke,-0.8075245433643803,-0.24827208471455683,-1.4647567897196943,0.3283684528542225,SPD
Edgar Naujok,1.851741074269254,2.180690060664868,1.537247271939283,0.22237322973975263,AfD
